,0.0001,0.001,0.01,0.1,1.0,10.0
87,-67.12006525768714,-131.92110204914704,-300.96915398378724,-772.4535627368957,-812.518305016758,-390.0400052060634
88,-65.76996316791168,-132.59557591885147,-299.69497886502813,-773.9210899166184,-811.9226021509915,-391.11770398623645
89,-67.6477174123662,-132.70133395050362,-293.91455609338425,-773.963961004486,-822.9215911289751,-391.7080403767857
90,-65.7305370084726,-132.48360767836883,-286.3997659450478,-780.8388318789865,-821.4201418186077,-391.7902613251124
91,-63.396306752217946,-132.16155831205856,-282.63835624362196,-780.0771535433408,-820.8580450984939,-388.5241659131482
92,-61.250078875377966,-132.3289877891992,-277.9563827217487,-778.305697909875,-824.1713520025093,-385.9130365401198
93,-60.20975702482143,-132.25455518325685,-273.7438612250247,-779.2691494675553,-826.5320173456602,-387.4628332532084
94,-58.164721808163634,-132.32863162697925,-264.55634439471,-773.5895327114671,-825.9548354970264,-389.48718712767
95,-55.423243176847635,-135.26452355655442,-260.60581161157774,-776.6189239935854,-828.6267446242571,-388.172620194284
96,-56.06805143847825,-134.991185309072,-255.87434474542803,-778.1462905481255,-827.900541908765,-384.688018811805
97,-56.484456664854186,-135.52563637146295,-245.90097142252384,-782.8683817867795,-833.095107894129,-381.08475309392884
98,-56.49596089040111,-135.03769351925538,-244.35313652498047,-786.5828726178102,-831.6541783165948,-379.6533994439077
99,-56.760366342178884,-135.08321350024664,-236.58896156145383,-791.7790882221396,-835.4012267711837,-381.720496999638
100,-56.454694056925476,-136.07226833425963,-236.43258676027267,-791.8207667761649,-837.4819911201147,-382.6465652585598
101,-56.57761663038912,-136.17639866148485,-235.52001437641943,-814.9939621081413,-835.7448573383035,-381.5132497671808
102,-55.03222511844967,-136.15629919358793,-235.51261318642312,-805.630789844525,-835.75693407795,-382.42056503380707
103,-56.901016287650464,-136.01238417372198,-236.49626616060357,-806.830770504692,-845.7784126535897,-380.4633982631399
104,-55.21309429906144,-135.61575203780333,-236.060806476896,-807.6434648055542,-846.669573683934,-378.8482739009399
105,-55.9632669284687,-135.61838925223958,-232.67975961253757,-811.004311601006,-843.398796637038,-384.371077049651
106,-57.17670664052645,-135.94909851033515,-230.57826473614838,-811.0141627088544,-834.1195994753274,-386.77724930488336
107,-55.89036894200743,-135.80776187641092,-230.89973534185177,-830.8387961661776,-832.4795504375943,-386.76356488606604
108,-55.55734705248106,-136.20317758075328,-229.08127865990136,-829.4972675405694,-835.1691612330546,-389.56207628684047
109,-55.557048811791795,-135.7496973635252,-229.76044827179356,-827.9907656912218,-830.3972811881408,-390.92866163750784
110,-55.27280469785692,-135.74791552106927,-232.90078904768353,-828.8267551196996,-839.4708126566998,-390.863194693304
111,-55.42672327390957,-135.19134790795803,-234.72108733342668,-829.3512015999956,-838.1428240851726,-384.846169398722
112,-54.005672849261366,-135.12031666762124,-235.4515717204913,-820.030910834335,-832.8367138932502,-382.32897844257917
113,-51.73326863745242,-134.90337082295184,-238.26175857427356,-820.6644504454277,-834.4553349598967,-381.07938597187683
114,-52.452646330676856,-134.78316177241982,-238.81603096475902,-819.5431692964708,-834.6467458099613,-383.156657726474
115,-52.43182757442849,-134.81944434367028,-239.36653560972707,-823.4764723738207,-836.4262491046045,-383.3606473772223
116,-53.12642044877967,-135.65536558990397,-241.49110587911716,-823.0382370869058,-832.9376661787832,-382.3276432771316
117,-53.18123303843998,-135.52137805152267,-243.88820553764148,-823.7937068792495,-831.9131747883622,-380.1736024918958
118,-50.584570605188446,-136.07962362718956,-248.51238675709754,-819.6867219654655,-798.55399262075,-381.59866813822094
119,-47.36065973148601,-135.6688957895963,-247.33596312305187,-820.4625321801132,-810.2288328746836,-381.60775305751747
120,-45.38737434427548,-135.16020324046312,-248.0557159494705,-825.3375397340425,-811.0152240215191,-383.25487012276614
121,-42.6454030532189,-135.7741923066682,-247.58475476135519,-832.242790302742,-832.5042819578265,-389.4573258069657
122,-42.37814642756125,-135.56438269606053,-249.525736302385,-830.6444053489914,-837.776536795716,-388.3508057852746
123,-42.26238106517505,-133.63222321075628,-251.41023376947226,-829.6126355016728,-830.2802280216077,-389.650027519289
124,-41.359644068749006,-134.20642404837673,-256.52166648224653,-865.8725636231397,-830.7346357140301,-389.9380486405334
125,-42.846925090444664,-134.3293520802519,-258.9213070900598,-855.8430507162194,-812.3117960904415,-385.37777185166254
126,-40.805502402009935,-134.45893852417376,-258.6361532999006,-853.7803388779923,-818.4740807236859,-385.2897379459315
127,-40.51346285409223,-133.71266973116172,-260.4205770444189,-867.0894036004272,-817.7089490129883,-386.25675475036684
128,-41.6809893804086,-133.5876658281072,-264.53568501191586,-854.7657954971505,-812.2666407009456,-386.5256297794022
129,-41.36319964919407,-133.15115060983592,-267.41011196276173,-895.2547380903011,-809.9528609522816,-386.6473234414592
130,-40.66776558441523,-132.74945097651675,-268.31900559897554,-897.6176163152053,-811.9168800067314,-389.12603719014726
131,-40.841973640269366,-132.93272965064952,-268.88119309212055,-897.8422721512482,-831.023519324807,-390.84692729324075
132,-39.2712128630733,-133.51185886827972,-267.9591787861674,-896.0082800625527,-833.5281108581651,-390.0296962470568
133,-38.71460891344779,-133.57292233522162,-267.10398277012354,-895.9906367468953,-834.5918411474678,-392.447758300797
134,-36.264366060348024,-135.12080744972639,-265.26326992911237,-909.024066143428,-832.3748403514228,-392.92275592708853
135,-38.133473575427864,-134.7746087716249,-266.88375363030985,-907.2632539875385,-835.1856196978657,-392.4617980804145
136,-38.89016933558794,-134.96005781347213,-268.5623391648353,-901.0231194664117,-831.8794894064413,-390.6339230381712
137,-36.93451683251848,-135.1825188732324,-269.3188772102651,-900.5717849682724,-834.689866382088,-387.5970570031166
138,-36.43396911291085,-135.2859251564573,-269.0794399929736,-901.5668696292597,-836.2556046825805,-386.9587816653268
139,-34.28400760393163,-134.83461827402255,-263.09179433172466,-885.6026381399882,-829.6518894847737,-384.7439781339986
140,-29.19260365646651,-134.2556818807565,-261.6045046976997,-888.9298094102694,-828.4057835691465,-384.0077517117104
141,-27.75390030799179,-134.68229732681596,-261.64934080131474,-894.3164659035137,-826.510651352984,-380.9636494866696
142,-27.672198607036304,-134.00007315491064,-259.50272186492094,-870.6155160675272,-830.8498905281356,-379.447373467885
143,-25.513756777973786,-134.19910888734995,-259.2205262854062,-890.3925421363839,-836.3685802795277,-378.2784036084466
144,-25.3511412915965,-134.48086041374904,-260.24427306951134,-894.4937287195564,-848.8767636381901,-378.42930471453866
145,-24.007953070610178,-134.2261104154754,-260.1216297494174,-899.6608270780058,-856.6909694310318,-378.21609181649
146,-21.51527003063892,-134.48588095258793,-260.229027225436,-894.8449642747004,-854.7063866609301,-377.535601385225
147,-19.976277123922358,-134.80092240635324,-259.508989096548,-885.4003819666653,-852.7805517956768,-377.1840987290088
148,-20.278521014461987,-134.55730449839066,-257.676450703202,-875.7077727206275,-848.617650998205,-375.53037441167794
149,-21.051941384194837,-132.99207130590926,-255.25183689901144,-876.8973798453096,-849.6716898490336,-376.7414191583519
150,-19.586660093300715,-132.2077419262822,-257.3578906297561,-878.1652458740635,-843.1817655641424,-379.9975758158829
151,-20.436772844734147,-131.902437361022,-259.7057508368708,-884.0298185270053,-844.3162684046033,-380.85698091981413
152,-20.48408624000378,-131.93964974484058,-258.4669110485595,-883.9672036127863,-845.4398438201237,-381.9746303814248
153,-20.377014545683792,-132.68231935978554,-257.8916949333503,-883.1717849553977,-840.4386894020994,-382.5282892481833
154,-20.25805256944912,-132.6277836891127,-257.05904953767686,-880.3908719338433,-837.9401078293351,-379.92006903378797
155,-20.209582468211366,-132.51354657589638,-256.7812999059065,-883.5987288025239,-837.7190040545835,-381.4439021030604
156,-19.369589385202662,-132.76284453498175,-254.0293955542121,-887.9746331377023,-878.8472657141817,-380.73094964893943
157,-18.69724765419666,-133.07098419643498,-252.53594955202342,-900.1290845765626,-879.9500204776264,-378.6672670594933
158,-18.959634323353306,-132.7040314418504,-252.5808145554216,-901.8268178009856,-897.6200975040837,-378.9153384540878
159,-18.688532048956798,-133.06669439990893,-253.69520614167695,-901.166972340543,-910.9311138931221,-376.28293243671703
160,-18.564993927495124,-133.77735696920865,-253.50491588070864,-912.4302490606077,-918.999447261986,-378.72292164632233
161,-16.83620109100005,-133.67000130910324,-250.27758141402458,-910.030243928415,-922.9754026875795,-381.5455947245336
162,-15.720399637005016,-133.58624629768462,-247.70773424303587,-908.3588506200024,-927.6237621069382,-378.4074753415093
163,-14.400045723753976,-133.45735705543,-244.48726400577817,-902.2920648925584,-929.1346414722631,-378.9190330295855
164,-13.886028931985747,-133.43816620871834,-239.76859563232674,-899.7151824057973,-939.8106787618905,-379.7175606932376
165,-12.746163311708992,-133.40636701253013,-236.65210836123913,-901.9699942877915,-944.8635284925591,-377.34090793352414
166,-11.962489183370543,-133.42718557533973,-234.64906789352105,-903.5521558005521,-989.805134359848,-379.0341572329616
167,-11.115856083648204,-133.15246977994374,-232.88050188290643,-905.2596896945479,-989.845454301651,-380.0563397984161
168,-10.376014475508013,-133.46580869765788,-236.36483154888833,-898.1153927357293,-986.307090566771,-383.5750713852065
169,-7.61808310727212,-133.79170429148596,-237.66609764527283,-900.7000084664583,-986.035893269973,-384.105046478487
170,-5.382963776414256,-133.58943457997873,-244.7412256835705,-893.957513748272,-986.3784708781731,-384.7399352898664
171,-3.5705874788198066,-133.30164620221677,-241.75483007142947,-892.15418722656,-982.8458880191887,-386.27762342428883
172,-3.9418853643570997,-132.2184773396604,-247.96310767226208,-889.289715832324,-953.6560899863093,-385.660635369378
173,-3.3146547979241747,-132.90066080926013,-250.09556709990193,-889.6474422169393,-954.0576581427069,-386.84553965764195
174,-3.0867365616577103,-131.27144999523955,-250.93790934214093,-889.0918541515147,-953.2907816660485,-386.19590365302787
175,-1.9338480210345015,-130.9300678337655,-260.64302043100184,-889.300984414973,-946.6895738906368,-387.2162142112315
176,-0.41818682028964543,-130.87126784592294,-262.24467676909035,-890.5844466957847,-946.7253037594539,-390.2691804576885
177,1.1548863424108382,-130.82600054031133,-260.7310157815285,-894.8006500928185,-949.3883008419841,-390.61458281924956
178,1.2572682504900072,-131.74882567019384,-260.8347851291967,-898.0949980302317,-950.0447253461118,-387.5785553747545
179,0.925340990371277,-132.08200893295677,-257.67286822959596,-896.787756146236,-950.0232073575471,-388.9105056570829
180,0.9116601373891956,-132.05898800632113,-261.38206733339115,-923.2504046974232,-953.5050075995448,-388.8318668111562
181,1.7705522710074972,-132.32596254394767,-257.78276614885834,-931.950574490252,-926.3120612160083,-390.283682232599
182,1.3059660489778924,-131.6484024867084,-253.5842410535826,-927.3751986003001,-925.225714735983,-392.17382706613614
183,2.513717669862089,-131.1092452370665,-255.4050720366953,-927.4664596778483,-922.4799043218987,-393.1048248744601
184,2.3605971675490225,-130.54091502104043,-255.6874789506006,-936.2079642081402,-920.09775920536,-394.7116318594854
185,2.8151658398268715,-130.46719304301166,-253.47069772866652,-936.8148484276098,-920.3708777829612,-393.22685815035356
186,2.194879378179252,-131.27667935454087,-253.77272401631427,-935.9439568442526,-916.9307942923851,-392.3878601985123
187,3.134793655589908,-133.0131612109399,-259.63670644305734,-946.3602664873216,-915.48840215966,-391.8913655436403
188,2.865924371825751,-134.56737804091867,-261.2387055871079,-977.9264547232752,-918.446839461932,-389.8032230273409
189,5.764893841046199,-133.80289770696172,-261.14047935329694,-978.7307151264254,-907.0449789174249,-389.20453295838007
190,7.188126038521139,-133.925224311483,-261.3591099479552,-971.4883861215038,-907.7309109422995,-391.374434893225
191,8.661814605270763,-133.47607123962229,-263.57173571599066,-972.0061279209716,-906.7597594125072,-392.40068623410355
192,8.699070244619348,-133.80540218187497,-266.47287723643143,-1025.0661144293854,-906.0378421241732,-393.42193399528304
193,9.055585356216138,-134.08405916255495,-264.18611156974714,-1021.8405562602387,-909.4239980326716,-394.6273922186623
194,9.128752297252307,-132.456817125038,-266.97016415390135,-1022.5809738070933,-910.2837129395942,-394.9421788419526
195,8.639790080884902,-131.39883363364322,-304.2120360434934,-1020.8075528244101,-940.0605657906517,-392.4066753457297
196,10.790105532649523,-132.21337257101771,-305.97760807801615,-1028.5366522127197,-940.647501266927,-393.59535062151764
197,13.273302568983969,-131.931925651174,-313.5975762159153,-1029.9212111371376,-937.0215979772544,-393.62546522010257
198,15.159523535676334,-131.63420315122383,-313.5268579485109,-1036.0328581266028,-937.6626245373803,-396.98911749511245
199,17.283170187366427,-131.86679025836563,-313.32603771326137,-1028.0297921987185,-924.7367585309615,-394.59210337860236
200,18.967832953462423,-131.95289453641763,-311.09604354048776,-1027.5048706892542,-922.9459546343986,-395.06522485610964
201,21.672526159533856,-132.30625948242113,-313.032681870918,-1006.9618088015588,-921.302189737102,-397.73696004381713
202,22.540120731142174,-132.4382570720967,-311.3434563670122,-1006.9991084863732,-926.9434271420483,-396.63163482598895
203,25.760582582981453,-137.11221770663715,-308.9722995047543,-1007.9811943865434,-917.7444844213986,-395.2918903931399
204,25.80991349576707,-136.80928226653927,-306.93925169546094,-1017.076250795199,-920.9757054549711,-394.65540144820255
205,28.88187193412445,-137.31323301967458,-310.14698052553797,-1020.9185121799122,-921.0199830358172,-389.41558813991617
206,30.30161189410436,-137.24574520861788,-311.9990099500294,-1023.2055178808001,-922.6162813527293,-385.7249420679587
207,29.923641444830558,-137.52094792605536,-315.26545788820374,-1004.803059457955,-927.1254712332509,-383.21831826541404
208,29.751297800365073,-138.9544964746189,-314.1744282421887,-1019.6950786907261,-928.6347776128022,-379.2715331827137
