,0.4,0.3,0.25,0.2,0.1,0.05
160,-139.78590271962094,-135.49713974349118,114.18809653087612,3.1284794928954143,-143.51713292324413,-86.19867090436945
161,-140.37580226513944,-135.45567430586254,115.65778045138077,4.746144421837812,-138.20536076229732,-84.29876575309507
162,-140.09707963318567,-135.95119674795214,117.24380336398022,20.016282238259546,-137.56519827496018,-85.07862982627978
163,-140.71651878337397,-135.53758429636795,118.82394854443801,27.68745531104527,-137.0634101216923,-86.49318447984597
164,-140.800026749669,-134.81589266508306,120.39816288586863,33.77347154875197,-135.7407803446812,-87.92973551839123
165,-141.51513108612764,-134.78023439468186,121.89879149854038,37.11216765325021,-133.94500830816008,-88.58584709238568
166,-140.11011322312189,-134.8307341681798,119.98557537766706,41.29619523792316,-133.51555418235858,-89.73528104688256
167,-140.62710908813898,-134.7661654466294,120.93945049164044,48.54149679737718,-129.0428291231071,-89.26737962823415
168,-141.4614588938462,-135.18133987501886,122.72011036826115,51.73977954863284,-128.95873989459497,-88.87021907189333
169,-142.17157706919673,-136.20589958025698,120.70834580962327,51.339172556111535,-126.89124118072908,-89.34757432045944
170,-142.22960240954478,-135.88429349304954,122.89479075305562,53.823427540945886,-127.33803163987835,-90.41893755930774
171,-142.29018724604938,-136.1562282158424,123.4785864101775,53.380429915380354,-119.4788087108564,-89.98878175101574
172,-141.90165215517874,-135.39241399784544,124.0983016044116,52.46991991892457,-120.7830703687357,-90.06912892068151
173,-141.66894064564332,-134.81830122733368,125.63343171144014,50.390536514916796,-119.5056110755207,-89.79576518628764
174,-141.99848154804047,-134.3025669470576,127.1758215512479,48.70963568997811,-117.27651020804015,-126.43651586100354
175,-141.7263895342154,-135.00161064624268,126.44078565306329,51.112978312009005,-109.5375227825458,-131.36380971826173
176,-142.1616352672723,-135.08692602312374,125.34138314718959,48.00450007905708,-107.85640621673599,-160.810008098102
177,-142.40938695364054,-135.10954067830605,125.10134379375789,45.819647708483075,-108.38601099040373,-161.96654932275305
178,-142.15865370711688,-135.2702557115747,126.03730209560024,48.27084947887424,-108.33649167971289,-170.01422681229
179,-142.2825906775664,-135.1229267754126,126.52217765587193,51.12179098256332,-106.3443834261358,-169.59462948770667
180,-142.27331026538107,-135.055092511809,126.72359688005267,51.60336286743119,-107.18216733812984,-184.20480845164877
