,0.99,0.97,0.95,0.9,0.8,0.5
97,-216.51346774759918,-111.49226717928252,-206.80008005395786,-146.24828373974708,-579.1072459508592,-82.37730466878448
98,-219.546801911216,-109.69522237578944,-207.43159404120328,-147.48187415738394,-578.1963052580575,-82.02095854673317
99,-221.09975550148437,-106.38045995515144,-205.48597864735322,-148.289118315332,-577.5992093731309,-82.51960145762277
100,-222.1981890840638,-104.2931900960079,-205.67088045169078,-148.5979807935942,-576.7931476482103,-78.62126514161145
101,-220.19547196438674,-103.31745328722631,-204.1321373982646,-149.31214983825902,-575.7762027912887,-81.08924191865292
102,-221.16220197479484,-101.26781757217556,-205.7535507522565,-149.556988041616,-574.0465913292265,-81.9199344944382
103,-217.88503178936745,-100.20138239106191,-205.60127541122057,-149.21133161389892,-570.7585655714018,-83.72984965364437
104,-218.35570781653286,-99.44368967145921,-203.56240798048458,-148.55398131281328,-570.849919005647,-82.3000972413887
105,-217.78978576612448,-97.28329498044786,-201.25038109714296,-148.400729827921,-569.5050553837132,-86.49578633520021
106,-215.97078722911974,-95.55079020215037,-197.84491814162854,-147.81313733093322,-571.0537746387389,-86.49318247285126
107,-216.06993412461026,-93.00688113013435,-196.60179382505962,-148.245346967632,-570.2105679396026,-86.33401153853576
108,-214.7583586982996,-91.06988870488136,-197.4066801392855,-148.51591756370527,-569.2765213361239,-84.42770472804003
109,-214.27608892524603,-91.43875831607552,-197.9847071315795,-149.02611684145268,-565.5225313803667,-86.62763151141519
110,-213.28802741155215,-90.48071969524699,-199.88823259043937,-148.60657585418608,-568.4443225442643,-88.94843119132949
111,-213.21471730277509,-89.0608222099617,-197.9275931859322,-148.27863409957908,-570.8176762829032,-83.93780704767605
112,-213.24142378428746,-86.41601024066826,-200.31311449291505,-147.60811181163695,-569.8601217142013,-80.67586704108462
113,-212.94690737179306,-85.21979568792942,-198.85212857217712,-148.42341270944848,-568.5121161716843,-79.34450212472657
114,-213.6149870093404,-84.71274244959336,-195.30404554492566,-148.72265449507677,-569.0744124999275,-80.14178561254599
115,-212.12458936482017,-84.09148405577818,-194.76903346958713,-148.41455716672968,-568.3265026742737,-82.11308883082918
