,All Rewards
737,84.68266542309112
738,193.0752769369828
739,53.47627590747507
740,175.72403012855517
741,-89.50706179647634
742,88.04521799334117
743,96.59112091849931
744,99.09658933717432
745,91.34182324704042
746,71.59056062860573
747,110.7145934666648
748,188.59830449428404
749,88.87578016650178
750,90.6648439656944
751,101.02536151544037
752,57.099226039322765
753,98.20445331049626
754,86.86592848919747
755,104.0352248951048
756,78.56615123715895
757,151.71767668112557
758,86.9276342208116
759,62.84473282650743
760,100.54937314224871
761,85.69202641975349
762,113.96493985511214
763,180.56366903417714
764,112.33355108943607
765,105.80341911799887
766,105.67467635891451
767,104.36081756021845
768,84.6369712975057
769,127.34077031150096
770,119.01033234845892
771,114.83483438225406
772,119.407335841393
773,113.56803234639482
774,117.61335893757344
775,118.04992819046734
776,198.76609262031772
777,-39.332624290297446
778,127.61033660928102
779,127.91875202923345
780,119.27728688337407
781,115.31930006488585
782,222.90122721178335
783,117.08528379601263
784,-14.109156161442755
785,84.88749820368483
786,98.34902219694476
787,90.96714704052269
788,96.35627030781009
789,92.41340589566036
790,109.09499210860588
791,206.1251778697353
792,99.4919205284032
793,218.22116596267884
794,92.5507152115373
795,112.66393860499264
796,226.12441404325276
797,88.11067382629572
798,104.34090748262729
799,83.94412662393033
800,130.99663423687457
801,95.0718783296726
802,98.88785037014344
803,93.47191035977747
804,160.849317618609
805,-34.5074193672493
806,80.3356530380192
807,145.97051142835102
808,-42.93338957707391
809,132.89548509958385
810,111.08933206765525
811,148.76904027063077
812,109.92887585174276
813,152.99913778575953
814,132.99307388523377
815,120.00149587219697
816,130.22540040915217
817,105.66642327731589
818,113.15036771198965
819,155.0588529682108
820,132.47605032635616
821,126.57620202195898
822,121.23656597249891
823,120.59907828107262
824,79.44562342403938
825,106.58973035058715
826,137.8138979855588
827,130.85461875876206
828,119.55227125117918
829,122.04513317015272
830,167.45665138978012
831,257.4546122065637
832,198.2343182386498
833,166.20168809266653
834,200.118674893863
835,252.13344218055227
836,-41.02754225840364
837,218.3010779372089
838,255.68868260338084
839,247.0676711268602
840,224.56694080438172
841,50.41403223422789
842,229.28873092534377
843,20.557530092228262
844,150.33401488946498
845,242.09703799465223
846,228.58025190004173
847,195.47134067114274
848,209.6651598196987
849,255.76610472234762
