,Mean Rewards
1042,138.73225273219205
1043,139.04360579071587
1044,139.68252527227622
1045,136.64091376952908
1046,134.73087066579853
1047,135.46637660955474
1048,135.63742742129043
1049,133.70811986980496
1050,133.81196467628138
1051,133.6756459881447
1052,136.3672862192687
1053,137.9535296518511
1054,135.2455959168373
1055,135.372398555464
1056,135.52765833201678
1057,133.4146777398473
1058,129.532420145435
1059,129.91024558146353
1060,130.2062734317888
1061,130.71678159462581
1062,131.26765276943624
1063,131.59108543461238
1064,131.28851146587607
1065,131.2602633322513
1066,131.27572987052213
1067,132.10223733513556
1068,131.77683566964603
1069,128.6034789633209
1070,125.11492157537343
1071,125.12756170619927
1072,124.97368574364127
1073,121.24643201637075
1074,124.45925331668515
1075,126.90925202347371
1076,128.86834526846604
1077,128.90904635080042
1078,129.42381469509982
1079,131.95583187957828
1080,132.29049412785469
1081,131.8180082124814
1082,131.81870051082285
1083,134.51330887831003
1084,134.5048719135999
1085,135.0033411849678
1086,137.52260589929034
1087,137.62704168732046
1088,135.65898446876182
1089,133.42108071748046
1090,133.26658129264922
1091,136.18710644073013
1092,136.61145486248085
1093,134.65379094548018
1094,132.76221162911068
1095,133.3914875959649
1096,134.25314176495195
1097,134.46966420709163
1098,137.83957485160062
1099,138.7737699407966
1100,143.02056701664182
1101,146.06159560083134
1102,143.11926491302148
1103,146.08998455774213
1104,146.6813523503751
1105,145.6112566355493
1106,142.9938225226963
1107,143.68052233676997
1108,146.6249727328661
1109,146.82164638378052
1110,146.40280131060487
1111,146.48882131918882
1112,146.05828929701374
1113,148.70225102854872
1114,152.50766665819236
1115,152.6708671065431
1116,152.86502510591836
1117,156.048275003853
1118,155.40904872722282
1119,152.89330162667605
1120,150.93955951296002
1121,148.58408750965268
1122,148.35310863920049
1123,148.86225050267186
1124,146.3509222035923
1125,149.09597200539628
1126,151.26425296289813
1127,148.97678140277705
1128,148.7783122255912
1129,147.88777608358023
1130,147.72142969513033
1131,150.74194205255344
1132,154.61304508252408
1133,152.79163572289045
1134,150.5703483753045
1135,151.22596988730504
1136,147.43482294506285
1137,147.3724321910404
1138,143.14143590420355
1139,146.04337948858318
1140,143.73716917762567
1141,144.2238078897562
1142,142.2180045322687
1143,139.35255678508497
1144,138.97800846686138
1145,141.41905658819877
1146,139.4839704134241
1147,139.32726265716977
1148,142.20758257799275
1149,144.92566422504424
1150,136.35289163548856
1151,133.72913197945783
1152,131.1480002883016
1153,129.25430235191314
1154,129.8939670351453
1155,125.29627401350885
1156,123.03339529868325
1157,123.021401309127
1158,126.90887813536217
1159,126.543513506874
1160,124.35569456574473
1161,122.23631878448214
1162,122.79921736807235
1163,120.3533957094533
1164,120.08626211572783
1165,117.91909101549163
1166,115.58155294239755
1167,113.28178340559869
1168,111.04139035728724
1169,114.81117517195852
1170,116.34394901248407
1171,113.4835580080937
1172,112.79378761589025
1173,114.26229161472767
1174,114.4494377272001
1175,111.76656625051018
1176,108.95437094533865
1177,106.56179991770601
1178,104.0110844342258
1179,103.4604996276654
1180,102.47298342384886
1181,101.71916572798511
1182,98.84414664848804
1183,95.46755072653957
1184,97.17498457046608
1185,96.55244330402348
1186,95.89575161032047
1187,92.78262562514523
1188,92.23635982199879
1189,91.72952331037739
1190,93.64384167286664
1191,91.0380859587571
1192,88.65452371334094
1193,90.0199242968161
1194,89.57079011224998
1195,91.78011899758614
1196,93.40139476080044
1197,91.27763837641376
1198,88.25408120595384
1199,85.25721979308366
1200,82.58376766942685
1201,79.34251001509647
1202,80.07161853968863
1203,79.7321116980103
1204,76.54470089741339
1205,76.16332434854365
1206,76.28763243936388
1207,72.77297961468932
1208,72.81239698890235
1209,70.13379409165788
1210,71.39874080472008
1211,68.40980628409055
1212,69.2063852870563
1213,66.62189308254986
1214,63.59667290592266
1215,60.74687361967089
1216,62.820185715193276
1217,60.3147573060424
1218,60.51805466357944
1219,60.528834340759616
1220,60.36617603362186
1221,59.73024632269491
1222,57.40961397705275
1223,55.00460092985853
1224,55.00783779235016
1225,52.23753260931045
1226,49.82213388621611
1227,50.678428329961015
1228,48.43258881090551
1229,47.21762922083856
1230,45.53604742563629
1231,43.9190285222633
1232,42.0583346938584
1233,42.47589021323109
1234,42.361805831663666
1235,40.131958909000396
1236,41.38001619252419
1237,38.437782806346824
1238,40.66222384494781
1239,38.67146928253839
1240,39.0233862292689
1241,37.11807875149264
1242,36.01109272236927
1243,36.757546664776775
1244,36.999298761160816
1245,34.70521966899778
1246,36.2404082233171
1247,37.994171070549854
1248,35.43264697920224
1249,33.16781126050061
1250,39.570366459863415
1251,39.81246371541784
1252,40.27173967923564
1253,40.13053200016294
1254,39.88731922160559
1255,41.59977654319999
1256,41.48574028767412
1257,43.74139943043422
